StudyTimeWeekly,Absences,GradeClass,Age_15,Age_16,Age_17,Age_18,Gender_Female,Gender_Male,Ethnicity_African American,Ethnicity_Asian,Ethnicity_Caucasian,Ethnicity_Other,ParentalEducation_Bachelor's,ParentalEducation_High School,ParentalEducation_Higher,ParentalEducation_None,ParentalEducation_Some College,Tutoring_No,Tutoring_Yes,ParentalSupport_High,ParentalSupport_Low,ParentalSupport_Moderate,ParentalSupport_None,ParentalSupport_Very High,Extracurricular_No,Extracurricular_Yes,Sports_No,Sports_Yes,Music_No,Music_Yes,Volunteering_No,Volunteering_Yes
19.833722807854713,7,2.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False
4.21056976881226,26,4.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False
10.028829473958217,14,3.0,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False
8.191218545250186,0,1.0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False
15.601680474699297,10,2.0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False
15.424496305808074,22,4.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False
4.562007558047703,1,2.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True
18.4444663630972,0,0.0,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False
11.851363655296536,11,3.0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False
10.038711615617212,21,4.0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False
12.101425068754876,21,4.0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False
11.197810636915708,9,3.0,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False
10.098656081788002,14,3.0,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False
